TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2024,1,17,17,45,12XX GRANVILLE ST,Central Business District,490759.7016,5458204.4134
Break and Enter Commercial,2024,1,10,3,41,12XX GRANVILLE ST,Central Business District,490761.934,5458219.8003
Break and Enter Commercial,2024,1,11,3,45,12XX GRANVILLE ST,Central Business District,490761.934,5458219.8003
Break and Enter Commercial,2024,1,16,17,0,12XX HORNBY ST,Central Business District,490589.2185,5458328.2549
Break and Enter Commercial,2024,1,17,4,52,12XX HORNBY ST,Central Business District,490589.2185,5458328.2549
Break and Enter Commercial,2024,1,27,0,55,12XX JERVIS ST,West End,490143.994,5458867.7751
Break and Enter Commercial,2024,1,17,15,15,12XX MAIN ST,Central Business District,492717.8494,5457907.8665
Break and Enter Commercial,2024,2,29,6,19,12XX RICHARDS ST,Central Business District,490851.8218,5458026.6393
Break and Enter Commercial,2024,2,2,4,0,12XX W 6TH AVE,Fairview,490355.222,5457038.59
Break and Enter Commercial,2024,1,12,7,21,12XX W 73RD AVE,Marpole,490276.1627,5450168.3771
Break and Enter Commercial,2024,1,22,8,2,12XX W 73RD AVE,Marpole,490276.1627,5450168.3771
Break and Enter Commercial,2024,2,26,15,14,12XX W HASTINGS ST,Central Business District,491023.488,5459585.8138
Break and Enter Commercial,2024,2,8,17,30,12XX W PENDER ST,Central Business District,490899.0425,5459585.1576
Break and Enter Commercial,2024,2,9,7,37,12XX W PENDER ST,Central Business District,490899.0425,5459585.1576
Break and Enter Commercial,2024,1,16,11,35,13XX DAVIE ST,West End,490174.5554,5458923.7446
Break and Enter Commercial,2024,2,15,19,51,13XX HOWE ST,Central Business District,490566.5114,5458170.386
Break and Enter Commercial,2024,1,15,3,25,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494311.1698,5455398.4791
Break and Enter Commercial,2024,1,26,5,0,13XX W BROADWAY AVE,Fairview,490213.1361,5456765.4658
Break and Enter Commercial,2024,2,12,3,35,14XX CONTINENTAL ST,Central Business District,490494.7193,5457981.0102
Break and Enter Commercial,2024,2,19,12,23,14XX E HASTINGS ST,Grandview-Woodland,494592.7539,5458736.0127
Break and Enter Commercial,2024,2,13,8,0,14XX GRANT ST,Grandview-Woodland,494546.8223,5457641.5872
Break and Enter Commercial,2024,1,28,3,37,14XX QUEBEC ST,Central Business District,492586.5863,5457740.9297
Break and Enter Commercial,2024,2,21,14,58,14XX STRATHMORE MEWS,Central Business District,490775.3821,5457825.1561
Break and Enter Commercial,2024,1,4,21,1,15XX CLARK DR,Grandview-Woodland,494378.3972,5457618.945
Break and Enter Commercial,2024,1,29,17,0,15XX RAND AVE,Marpole,489573.8283,5450370.3316
Break and Enter Commercial,2024,1,30,18,4,15XX RAND AVE,Marpole,489573.8283,5450370.3316
Break and Enter Commercial,2024,1,29,9,23,15XX RAND AVE,Marpole,489593.3081,5450344.115
Break and Enter Commercial,2024,1,25,12,54,15XX W 11TH AVE,Fairview,489823.9693,5456565.0985
Break and Enter Commercial,2024,1,30,1,0,15XX W 11TH AVE,Fairview,489847.4759,5456555.5078
Break and Enter Commercial,2024,2,11,3,49,15XX W 65TH AVE,Marpole,489768.6611,5451065.9479
Break and Enter Commercial,2024,2,10,14,5,16XX E 10TH AVE,Kensington-Cedar Cottage,494887.9405,5456512.6559
Break and Enter Commercial,2024,2,28,17,2,16XX E 1ST AVE,Grandview-Woodland,494860.7037,5457421.8849
Break and Enter Commercial,2024,1,15,11,21,16XX E 5TH AVE,Grandview-Woodland,494867.638,5457023.7591
Break and Enter Commercial,2024,2,14,3,33,16XX E BROADWAY AVE,Grandview-Woodland,494785.68,5456626.8853
Break and Enter Commercial,2024,1,24,3,19,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494862.4563,5454987.947
Break and Enter Commercial,2024,1,8,2,45,16XX QUEBEC ST,Mount Pleasant,492543.2664,5457594.3932
Break and Enter Commercial,2024,1,31,17,30,16XX RENFREW ST,Hastings-Sunrise,496788.2621,5457456.8337
Break and Enter Commercial,2024,2,1,21,2,16XX W 5TH AVE,Fairview,489628.0797,5457155.6756
Break and Enter Commercial,2024,2,3,9,25,17XX BEACH AVE,West End,489639.0953,5459330.3813
Break and Enter Commercial,2024,2,6,11,22,17XX COMOX ST,West End,489888.1719,5459515.3215
Break and Enter Commercial,2024,2,25,6,31,17XX DAVIE ST,West End,489717.8553,5459363.1112
Break and Enter Commercial,2024,1,24,4,41,17XX PANDORA ST,Grandview-Woodland,494969.5596,5458922.2248
Break and Enter Commercial,2024,3,3,9,29,17XX PENDRELL ST,West End,489773.9224,5459472.5414
Break and Enter Commercial,2024,1,4,2,30,18XX E HASTINGS ST,Grandview-Woodland,495217.4042,5458724.3988
Break and Enter Commercial,2024,1,9,9,43,18XX E PENDER ST,Grandview-Woodland,495189.5786,5458607.789
Break and Enter Commercial,2024,2,27,3,9,18XX SCOTIA ST,Mount Pleasant,492866.0485,5457229.3722
Break and Enter Commercial,2024,1,27,17,0,18XX W 57TH AVE,Kerrisdale,489161.9589,5451859.0481
Break and Enter Commercial,2024,2,16,9,11,19XX PENDRELL ST,West End,489615.8139,5459633.029
Break and Enter Commercial,2024,1,16,12,58,19XX ROBSON ST,West End,490033.0291,5459988.8383
Break and Enter Commercial,2024,2,13,9,25,19XX ROBSON ST,West End,490033.0291,5459988.8383
Break and Enter Commercial,2024,2,13,9,53,19XX ROBSON ST,West End,490033.0291,5459988.8383
Break and Enter Commercial,2024,1,10,3,9,1X W BROADWAY AVE,Mount Pleasant,492340.0396,5456696.0797
Break and Enter Commercial,2024,2,13,10,36,1X W CORDOVA ST,Central Business District,492387.9842,5458871.6596
Break and Enter Commercial,2024,2,12,13,59,1XX E PENDER ST,Central Business District,492571.6465,5458632.2455
Break and Enter Commercial,2024,2,3,3,48,1XX E WOODSTOCK AVE,Riley Park,492590.051,5453424.3358
Break and Enter Commercial,2024,2,25,12,40,1XX KEEFER ST,Central Business District,492725.4136,5458526.1607
Break and Enter Commercial,2024,2,27,8,51,1XX KEEFER ST,Central Business District,492725.4136,5458526.1607
Break and Enter Commercial,2024,3,1,9,49,1XX KEEFER ST,Central Business District,492725.7131,5458535.2998
Break and Enter Commercial,2024,2,1,17,0,1XX MILROSS AVE,Central Business District,492615.6419,5458155.4826
Break and Enter Commercial,2024,1,12,8,0,1XX POWELL ST,Central Business District,492669.258,5458949.7229
Break and Enter Commercial,2024,2,23,11,15,1XX W 49TH AVE,Oakridge,492102.3675,5452559.9667
Break and Enter Commercial,2024,1,11,3,8,1XX W HASTINGS ST,Central Business District,492182.5636,5458822.087
Break and Enter Commercial,2024,2,28,14,51,20XX BARCLAY ST,West End,489767.797,5459934.0861
Break and Enter Commercial,2024,1,27,21,20,20XX E HASTINGS ST,Grandview-Woodland,495446.7882,5458720.7408
Break and Enter Commercial,2024,1,1,5,15,20XX KINGSWAY AVE,Kensington-Cedar Cottage,495334.8648,5454660.7167
Break and Enter Commercial,2024,1,29,8,17,21XX COMMERCIAL DR,Grandview-Woodland,494931.2357,5456957.6901
Break and Enter Commercial,2024,2,15,9,13,21XX FRANKLIN ST,Grandview-Woodland,495546.6705,5458822.7493
Break and Enter Commercial,2024,3,7,22,11,21XX W 4TH AVE,Kitsilano,488880.804,5457277.688
Break and Enter Commercial,2024,2,22,5,30,23XX E 40TH AVE,Renfrew-Collingwood,495832.5566,5453460.588
Break and Enter Commercial,2024,1,9,15,58,24XX BALACLAVA ST,Kitsilano,487346.8403,5456879.3183
Break and Enter Commercial,2024,1,11,14,30,24XX BALACLAVA ST,Kitsilano,487346.8403,5456879.3183
Break and Enter Commercial,2024,1,26,2,40,24XX E HASTINGS ST,Hastings-Sunrise,495891.8376,5458718.8358
Break and Enter Commercial,2024,1,19,4,15,24XX KAMLOOPS ST,Hastings-Sunrise,496014.6473,5456684.7339
Break and Enter Commercial,2024,3,5,3,25,24XX MAIN ST,Mount Pleasant,492645.0897,5456771.2598
Break and Enter Commercial,2024,1,11,7,58,24XX VICTORIA DR,Grandview-Woodland,495210.7353,5456712.0184
Break and Enter Commercial,2024,2,26,12,0,24XX W 41ST AVE,Arbutus Ridge,488208.2609,5453561.885
Break and Enter Commercial,2024,1,7,1,0,25XX CARNARVON ST,Kitsilano,487476.7036,5456809.6436
Break and Enter Commercial,2024,1,7,22,1,25XX CARNARVON ST,Kitsilano,487476.7036,5456809.6436
Break and Enter Commercial,2024,1,30,3,30,25XX CARNARVON ST,Kitsilano,487476.7036,5456809.6436
Break and Enter Commercial,2024,1,1,2,50,25XX E HASTINGS ST,Hastings-Sunrise,496192.3539,5458708.8997
Break and Enter Commercial,2024,1,30,7,14,25XX GARDEN DR,Kensington-Cedar Cottage,495772.0035,5456555.8494
Break and Enter Commercial,2024,2,16,4,12,25XX KINGSWAY AVE,Renfrew-Collingwood,496101.3389,5454107.1089
Break and Enter Commercial,2024,2,27,3,8,26XX CAMBIE ST,Fairview,491629.6949,5456595.2671
Break and Enter Commercial,2024,1,4,3,34,26XX KINGSWAY AVE,Renfrew-Collingwood,496292.5552,5453982.5976
Break and Enter Commercial,2024,1,12,10,32,27XX E 28TH AVE,Renfrew-Collingwood,496540.73,5454744.381
Break and Enter Commercial,2024,2,4,23,0,27XX GRANVILLE ST,Fairview,489917.4967,5456506.8767
Break and Enter Commercial,2024,2,8,2,8,27XX KINGSWAY AVE,Renfrew-Collingwood,496377.6269,5453921.7709
Break and Enter Commercial,2024,2,6,1,17,27XX MAIN ST,Mount Pleasant,492657.7855,5456467.176
Break and Enter Commercial,2024,1,21,1,33,27XX RUPERT ST,Renfrew-Collingwood,497553.3771,5456341.8502
Break and Enter Commercial,2024,1,9,0,30,28XX E 1ST AVE,Hastings-Sunrise,496590.7519,5457399.7562
Break and Enter Commercial,2024,1,31,23,51,28XX E BROADWAY AVE,Hastings-Sunrise,496750.4551,5456582.2825
Break and Enter Commercial,2024,2,2,2,53,28XX E BROADWAY AVE,Hastings-Sunrise,496750.4551,5456582.2825
Break and Enter Commercial,2024,1,27,13,33,28XX E HASTINGS ST,Hastings-Sunrise,496663.4687,5458707.6353
Break and Enter Commercial,2024,1,8,17,30,28XX YEW ST,Kitsilano,488695.1512,5456455.3258
Break and Enter Commercial,2024,1,16,0,0,29XX E 29TH AVE,Renfrew-Collingwood,496863.61,5454639.362
Break and Enter Commercial,2024,2,6,15,19,29XX E 4TH AVE,Hastings-Sunrise,496824.4067,5457096.6518
Break and Enter Commercial,2024,3,2,3,50,29XX E HASTINGS ST,Hastings-Sunrise,496808.7101,5458716.797
Break and Enter Commercial,2024,2,25,5,5,2XX ABBOTT ST,Central Business District,492254.3191,5458977.4064
Break and Enter Commercial,2024,2,19,5,44,2XX CARRALL ST,Central Business District,492414.8254,5458946.4314
Break and Enter Commercial,2024,2,8,0,5,2XX DAVIE ST,Central Business District,491137.7256,5457954.4461
Break and Enter Commercial,2024,1,27,22,10,2XX E 1ST AVE,Strathcona,492821.8053,5457383.9482
Break and Enter Commercial,2024,1,12,20,0,2XX E 20TH AVE,Riley Park,492674.0303,5455588.3673
Break and Enter Commercial,2024,1,17,3,50,2XX E 8TH AVE,Mount Pleasant,492792.0205,5456766.8334
Break and Enter Commercial,2024,1,31,2,42,2XX PRIOR ST,Strathcona,492824.1682,5458218.5574
Break and Enter Commercial,2024,1,28,3,0,2XX SW MARINE DR,Marpole,491807.726,5450961.0228
Break and Enter Commercial,2024,2,4,23,0,2XX W BROADWAY AVE,Mount Pleasant,491976.1295,5456718.2406
Break and Enter Commercial,2024,1,10,6,45,2XX W KING EDWARD AVE,Riley Park,491935.4929,5455119.8603
Break and Enter Commercial,2024,2,17,0,0,30XX E 27TH AVE,Renfrew-Collingwood,497045.9081,5454833.8191
Break and Enter Commercial,2024,2,11,6,30,32XX KINGSWAY AVE,Renfrew-Collingwood,497277.3412,5453570.2792
Break and Enter Commercial,2024,1,28,3,40,32XX OAK ST,South Cambie,490747.4412,5456027.5449
Break and Enter Commercial,2024,2,13,0,49,33XX BRIDGEWAY,Hastings-Sunrise,497605.9206,5459548.3529
Break and Enter Commercial,2024,1,26,4,19,33XX KINGSWAY AVE,Renfrew-Collingwood,497533.3269,5453375.044
Break and Enter Commercial,2024,1,9,8,41,34XX CROWLEY DR,Renfrew-Collingwood,497643.8055,5453839.9184
Break and Enter Commercial,2024,1,28,0,0,34XX INVERNESS ST,Kensington-Cedar Cottage,494183.3057,5455647.8402
Break and Enter Commercial,2024,2,24,4,40,34XX KINGSWAY AVE,Killarney,497790.6052,5453240.7776
Break and Enter Commercial,2024,1,7,1,55,34XX SAWMILL CRES,Killarney,497671.276,5450348.8552
Break and Enter Commercial,2024,2,3,12,30,35XX CAMBIE ST,South Cambie,491610.9731,5455673.7654
Break and Enter Commercial,2024,3,7,10,13,35XX KINGSWAY AVE,Renfrew-Collingwood,497936.8519,5453261.4149
Break and Enter Commercial,2024,1,6,3,38,35XX KINGSWAY AVE,Killarney,497980.9958,5453255.1111
Break and Enter Commercial,2024,2,2,23,40,35XX KINGSWAY AVE,Killarney,497984.2441,5453255.304
Break and Enter Commercial,2024,2,6,2,42,35XX KINGSWAY AVE,Renfrew-Collingwood,498091.8167,5453270.9116
Break and Enter Commercial,2024,3,4,9,25,35XX LOUGHEED HWY,Hastings-Sunrise,497958.1595,5456782.3853
Break and Enter Commercial,2024,1,9,8,41,35XX VANNESS AVE,Renfrew-Collingwood,497912.8081,5453773.2657
Break and Enter Commercial,2024,1,19,15,34,36XX CROWLEY DR,Renfrew-Collingwood,498029.0116,5453589.0609
Break and Enter Commercial,2024,2,21,0,52,36XX MAIN ST,Riley Park,492650.0422,5455489.6332
Break and Enter Commercial,2024,2,15,8,20,38XX RUPERT ST,Renfrew-Collingwood,497530.3736,5455229.6593
Break and Enter Commercial,2024,2,7,5,30,38XX W 4TH AVE,West Point Grey,486275.3178,5457343.1242
Break and Enter Commercial,2024,1,16,5,23,3XX ABBOTT ST,Central Business District,492219.1855,5458881.348
Break and Enter Commercial,2024,2,13,10,45,3XX E HASTINGS ST,Strathcona,492959.9658,5458727.3222
Break and Enter Commercial,2024,3,1,2,34,3XX RICHARDS ST,Central Business District,491865.6863,5459036.5544
Break and Enter Commercial,2024,3,3,5,45,3XX WATER ST,Central Business District,492065.7308,5459068.8366
Break and Enter Commercial,2024,2,24,18,9,42XX LAUREL ST,South Cambie,490913.4234,5454983.2037
Break and Enter Commercial,2024,1,4,4,12,43XX W 10TH AVE,West Point Grey,485038.4298,5456804.9896
Break and Enter Commercial,2024,1,18,3,13,48XX ELDORADO MEWS,Renfrew-Collingwood,495809.2479,5454306.8533
Break and Enter Commercial,2024,1,8,6,5,4X E HASTINGS ST,Central Business District,492474.4064,5458751.0085
Break and Enter Commercial,2024,2,19,21,50,4X W HASTINGS ST,Central Business District,492320.6682,5458782.6495
Break and Enter Commercial,2024,3,4,10,34,4XX E CORDOVA ST,Strathcona,493109.8673,5458826.7854
Break and Enter Commercial,2024,2,19,10,30,4XX MAIN ST,Strathcona,492754.1531,5458715.5736
Break and Enter Commercial,2024,2,8,1,15,4XX SEYMOUR ST,Central Business District,491759.3721,5459080.529
Break and Enter Commercial,2024,1,24,8,26,4XX SW MARINE DR,Marpole,491553.4416,5450890.0222
Break and Enter Commercial,2024,2,3,18,13,50XX JOYCE ST,Renfrew-Collingwood,497714.1584,5454001.4149
Break and Enter Commercial,2024,2,19,7,0,50XX VICTORIA DR,Kensington-Cedar Cottage,495243.8476,5454001.5952
Break and Enter Commercial,2024,1,30,4,35,51XX JOYCE ST,Renfrew-Collingwood,497638.8033,5453882.9638
Break and Enter Commercial,2024,1,29,6,45,52XX JOYCE ST,Renfrew-Collingwood,497609.5247,5453818.2571
Break and Enter Commercial,2024,2,17,16,0,55XX BOUNDARY RD,Renfrew-Collingwood,498276.824,5453420.9549
Break and Enter Commercial,2024,3,7,10,53,55XX JOYCE ST,Renfrew-Collingwood,497345.8597,5453409.6296
Break and Enter Commercial,2024,1,2,1,3,56XX FRASER ST,Kensington-Cedar Cottage,493412.6518,5453368.5416
Break and Enter Commercial,2024,1,25,20,11,56XX WESSEX ST,Renfrew-Collingwood,497500.9818,5453341.3406
Break and Enter Commercial,2024,2,9,9,17,5X W 8TH AVE,Mount Pleasant,492299.1785,5456790.0668
Break and Enter Commercial,2024,3,5,3,45,5X W CORDOVA ST,Central Business District,492321.9081,5458882.1259
Break and Enter Commercial,2024,1,27,18,8,5X WATER ST,Central Business District,492334.7034,5459005.7933
Break and Enter Commercial,2024,3,3,8,40,5XX BEATTY ST,Central Business District,492023.364,5458628.1257
Break and Enter Commercial,2024,1,21,1,41,5XX BEATTY ST,Central Business District,492052.4108,5458657.5349
Break and Enter Commercial,2024,2,26,0,0,5XX BEATTY ST,Central Business District,492060.4284,5458678.6651
Break and Enter Commercial,2024,1,19,2,51,5XX E BROADWAY AVE,Mount Pleasant,493279.8267,5456636.9555
Break and Enter Commercial,2024,2,17,3,56,5XX GRANVILLE ST,Central Business District,491554.4675,5459005.7542
Break and Enter Commercial,2024,1,2,20,22,5XX RICHARDS ST,Central Business District,491778.2237,5458961.6366
Break and Enter Commercial,2024,1,20,6,30,5XX SW MARINE DR,Marpole,491383.5858,5450783.3674
Break and Enter Commercial,2024,1,27,21,42,61XX CAMBIE ST,Oakridge,491510.5933,5452943.6887
Break and Enter Commercial,2024,1,22,0,30,64XX VICTORIA DR,Victoria-Fraserview,495211.4869,5452620.4621
Break and Enter Commercial,2024,1,30,3,50,64XX VICTORIA DR,Victoria-Fraserview,495211.4869,5452620.4621
Break and Enter Commercial,2024,1,1,0,48,64XX VICTORIA DR,Victoria-Fraserview,495217.0809,5452515.684
Break and Enter Commercial,2024,1,1,16,0,69XX VICTORIA DR,Victoria-Fraserview,495198.9865,5452039.9899
Break and Enter Commercial,2024,1,19,19,0,6X W 7TH AVE,Mount Pleasant,492281.8742,5456890.9257
Break and Enter Commercial,2024,2,7,1,28,6XX BURRARD ST,Central Business District,491278.6732,5459176.8304
Break and Enter Commercial,2024,3,6,10,53,6XX CAMBIE ST,Central Business District,491821.6156,5458582.7287
Break and Enter Commercial,2024,1,2,0,27,6XX CARDERO ST,Central Business District,490550.8132,5459806.6504
Break and Enter Commercial,2024,2,14,7,13,6XX DRAKE ST,Central Business District,490774.6964,5458082.5403
Break and Enter Commercial,2024,1,6,22,30,6XX PIPELINE RD,Stanley Park,490126.115,5460860.546
Break and Enter Commercial,2024,2,1,7,2,6XX SMITHE ST,Central Business District,491200.0106,5458601.8223
Break and Enter Commercial,2024,2,11,10,12,6XX STAMPS LAND,Fairview,491415.4494,5457339.4571
Break and Enter Commercial,2024,1,30,4,0,6XX W 7TH AVE,Fairview,491404.1728,5456929.7127
Break and Enter Commercial,2024,2,11,4,46,6XX W BROADWAY AVE,Fairview,491281.9536,5456727.8637
Break and Enter Commercial,2024,1,25,21,30,6XX W HASTINGS ST,Central Business District,491726.5189,5459167.3494
Break and Enter Commercial,2024,2,20,9,41,6XX W PENDER ST,Central Business District,491715.6678,5459047.9189
Break and Enter Commercial,2024,1,7,5,0,77XX CHAMPLAIN CRES,Killarney,497814.2968,5451337.3897
Break and Enter Commercial,2024,2,1,9,15,78XX OAK ST,Marpole,490533.4492,5451254.2541
Break and Enter Commercial,2024,1,8,17,0,7X W HASTINGS ST,Central Business District,492256.9786,5458791.146
Break and Enter Commercial,2024,3,4,0,0,7X W HASTINGS ST,Central Business District,492256.9786,5458791.146
Break and Enter Commercial,2024,2,10,3,55,7X WATER ST,Central Business District,492306.9981,5459013.2751
Break and Enter Commercial,2024,1,23,2,43,7XX BEATTY ST,Central Business District,491760.0615,5458363.7436
Break and Enter Commercial,2024,3,8,2,18,7XX DENMAN ST,West End,490219.9667,5459933.0078
Break and Enter Commercial,2024,2,29,0,25,7XX RICHARDS ST,Central Business District,491453.345,5458634.4232
Break and Enter Commercial,2024,1,20,5,38,7XX SEYMOUR ST,Central Business District,491436.6685,5458754.3206
Break and Enter Commercial,2024,2,4,23,12,7XX SW MARINE DR,Marpole,491066.6177,5450555.5408
Break and Enter Commercial,2024,1,20,9,16,7XX W BROADWAY AVE,Fairview,491205.4662,5456729.413
Break and Enter Commercial,2024,1,13,1,46,80XX GRANVILLE ST,Marpole,489780.7292,5451130.4297
Break and Enter Commercial,2024,2,1,2,13,80XX GRANVILLE ST,Marpole,489781.3452,5451155.0783
Break and Enter Commercial,2024,1,18,20,0,84XX ASH ST,Marpole,491337.8291,5450655.963
Break and Enter Commercial,2024,2,18,9,6,84XX ONTARIO ST,Sunset,492229.0521,5450675.9724
Break and Enter Commercial,2024,1,3,20,40,85XX GRANVILLE ST,Marpole,489769.0792,5450668.6559
Break and Enter Commercial,2024,1,6,20,0,85XX RIVER DISTRICT CRSS,Killarney,497731.0058,5450298.8191
Break and Enter Commercial,2024,2,19,19,9,8X PACIFIC BLVD,Central Business District,492266.4699,5458261.6836
Break and Enter Commercial,2024,2,5,7,54,8XX BEATTY ST,Central Business District,491701.5163,5458305.2825
Break and Enter Commercial,2024,1,10,4,25,8XX BROUGHTON ST,West End,490489.5347,5459402.7363
Break and Enter Commercial,2024,1,6,1,30,8XX BURRARD ST,West End,491011.453,5458904.2617
Break and Enter Commercial,2024,2,3,2,42,8XX BURRARD ST,West End,491011.453,5458904.2617
Break and Enter Commercial,2024,2,18,5,9,8XX DUNSMUIR ST,Central Business District,491408.6156,5459125.5393
Break and Enter Commercial,2024,1,31,4,0,8XX HOMER ST,Central Business District,491391.435,5458416.1269
Break and Enter Commercial,2024,2,26,17,18,8XX MALKIN AVE,Strathcona,493798.2043,5457896.5649
Break and Enter Commercial,2024,2,23,7,12,8XX NELSON ST,Central Business District,490915.2169,5458637.9325
Break and Enter Commercial,2024,2,27,4,30,8XX NELSON ST,Central Business District,490915.2169,5458637.9325
Break and Enter Commercial,2024,1,4,6,0,8XX PACIFIC ST,Central Business District,490448.6475,5458166.9152
Break and Enter Commercial,2024,1,11,5,0,8XX RENFREW ST,Hastings-Sunrise,496796.3296,5458279.5638
Break and Enter Commercial,2024,1,19,17,0,8XX W 12TH AVE,Fairview,490960.664,5456434.5777
Break and Enter Commercial,2024,1,19,2,0,9XX HOWE ST,Central Business District,491052.3638,5458649.2419
Break and Enter Commercial,2024,2,4,20,2,9XX MAINLAND ST,Central Business District,491440.4645,5458329.8415
Break and Enter Commercial,2024,2,29,6,40,9XX MAINLAND ST,Central Business District,491446.1327,5458321.9832
Break and Enter Commercial,2024,2,22,7,55,9XX ROBSON ST,Central Business District,491087.3936,5458931.2578
Break and Enter Commercial,2024,1,3,22,13,9XX SEYMOUR ST,Central Business District,491125.9219,5458441.2075
Break and Enter Commercial,2024,1,9,21,45,9XX STATION ST,Strathcona,492790.7499,5458142.5656
Break and Enter Commercial,2024,2,2,10,51,9XX W BROADWAY AVE,Fairview,490953.3828,5456746.1661
Break and Enter Residential/Other,2024,2,9,16,55,10XX HOWE ST,Central Business District,490911.7414,5458505.4916
Break and Enter Residential/Other,2024,2,10,22,34,10XX W 13TH AVE,Fairview,490650.0715,5456334.4709
Break and Enter Residential/Other,2024,1,2,22,17,10XX W 13TH AVE,Fairview,490750.0568,5456331.9089
Break and Enter Residential/Other,2024,2,9,3,30,11XX BROUGHTON ST,West End,490120.4144,5459031.0221
Break and Enter Residential/Other,2024,1,26,18,30,11XX E 10TH AVE,Mount Pleasant,494113.3925,5456518.6958
Break and Enter Residential/Other,2024,1,27,19,24,11XX GRANVILLE ST,Central Business District,490852.4071,5458298.9215
Break and Enter Residential/Other,2024,2,21,19,45,11XX LE ROI ST,Hastings-Sunrise,497084.6165,5457960.883
Break and Enter Residential/Other,2024,2,5,3,40,11XX NANAIMO ST,Hastings-Sunrise,495889.2829,5458005.5757
Break and Enter Residential/Other,2024,1,24,19,25,11XX W 55TH AVE,Oakridge,490416.0603,5451962.3543
Break and Enter Residential/Other,2024,1,21,17,15,11XX W 70TH AVE,Marpole,490380.7014,5450646.8935
Break and Enter Residential/Other,2024,2,28,13,44,11XX W 73RD AVE,Marpole,490280.8544,5450177.5696
Break and Enter Residential/Other,2024,3,7,5,26,12XX MARINASIDE CRES,Central Business District,491268.6824,5457797.0202
Break and Enter Residential/Other,2024,2,5,20,0,12XX ROBSON ST,West End,490740.6514,5459287.6289
Break and Enter Residential/Other,2024,2,18,5,38,12XX ROSSLAND ST,Hastings-Sunrise,496681.3086,5457914.8558
Break and Enter Residential/Other,2024,2,9,22,0,13XX E 37TH AVE,Kensington-Cedar Cottage,494378.7215,5453782.9431
Break and Enter Residential/Other,2024,1,14,14,1,13XX HORNBY ST,Central Business District,490520.7058,5458260.0395
Break and Enter Residential/Other,2024,2,28,15,19,13XX W 11TH AVE,Fairview,490200.2523,5456545.3915
Break and Enter Residential/Other,2024,3,5,20,5,13XX W 59TH AVE,Marpole,490178.4908,5451613.376
Break and Enter Residential/Other,2024,1,19,23,5,14XX E 8TH AVE,Grandview-Woodland,494534.4692,5456725.1911
Break and Enter Residential/Other,2024,1,21,0,0,14XX MINTO CRES,Shaughnessy,489969.2192,5454471.8226
Break and Enter Residential/Other,2024,2,28,9,14,15XX DAVIE ST,West End,489981.4416,5459100.5943
Break and Enter Residential/Other,2024,1,3,16,45,15XX E 5TH AVE,Grandview-Woodland,494732.5907,5457025.4863
